Factory_Name,Factory_Type,Product_Type,Brands,Occasion,Supplier_Group,City,State,Country,Total_Workers,Line_Workers,Percent_Female_Workers,Percent_Migrant_Workers
FOOTMARK(CAMBODIA)CORPORATION,FINISHED GOODS,APPAREL,NIKE,,NO SUPPLIER GROUP,PHNOM PENH,KANDAL,CAMBODIA,106,89,0.60,0.00
FOREST LEATHER,MATERIALS,MATERIALS,NIKE,,FOREST LEATHER,YUAN-LIN CHEN,T'AI-WAN,TAIWAN,,,0.00,0.00
FORMOSA INDONESIA COMPANY LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,,FORMOSA,SEMARANG,JAKARTA,INDONESIA,1762,1419,0.91,0.01
FORMOSA LUGGAGE MANUFACTURING CO.LTD.,FINISHED GOODS,EQUIPMENT,NIKE,Collegiate,FORMOSA,HUIZHOU,GUANGDONG,CHINA,370,230,0.45,0.00
"FORMOSA TAFFETA CO., LTD",MATERIALS,MATERIALS,NIKE,,FORMOSA TAFFETA (FTC),TOULIU,,TAIWAN,,,0.00,0.00
"FORMOSA TAFFETA CO., LTD (CHINA)",MATERIALS,MATERIALS,NIKE,,FORMOSA TAFFETA (FTC),CHANGSHU,JIANGSU,CHINA,,,0.00,0.00
"FORMOSA TAFFETA, CO LTD VIETNAM",MATERIALS,MATERIALS,NIKE,,FORMOSA TAFFETA (FTC),BEN LUC,LONG AN,VIETNAM,,,0.00,0.00
"FRAMA Y SAGO, S.L./TORRATOX S.L",FINISHED GOODS,APPAREL,NIKE,,"FRAMA Y SAGO, S.L.",MATARO ,,SPAIN,7,6,0.20,0.00
FRAMAS KOREA,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,NO SUPPLIER GROUP,ASAN,CHOONGNAM,SOUTH KOREA,37,,0.09,0.00
"FRAMAS KOREA VINA CO., LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,FRAMAS,DONG NAI,DONG NAI,VIETNAM,487,418,0.40,0.00
FREETREND VN INDUSTRIAL CO.LTD.,FINISHED GOODS,FOOTWEAR,NIKE,Collegiate,DEAN SHOES,HO CHI MINH,,VIETNAM,22170,19524,0.87,0.00
FRONTLINE IMAGE LIMITED,FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,NO SUPPLIER GROUP,PLYMOUTH,ENGLAND,UNITED KINGDOM,78,57,0.40,0.16
"FUJIAN LIFENG FOOTWEAR CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,Collegiate,FENG TAY,PUTIAN,FUJIAN,CHINA,3940,3296,0.79,0.00
"FUJIAN SAN FENG FOOTWEAR CO.,LTD",FINISHED GOODS,FOOTWEAR,NIKE,Collegiate,FENG TAY,FUZHOU,FUJIAN,CHINA,3230,2639,0.78,0.00
"FUJIAN WEILIN INDUSTRIAL CO., LTD",FINISHED GOODS,FOOTWEAR,CONVERSE,,HONG FU,FUQING,FUJIAN,CHINA,60,,0.30,0.00
"FUJIAN XIEFENG FOOTWEAR CO.,LTD.",FINISHED GOODS,FOOTWEAR,NIKE,Collegiate,FENG TAY,PUTIAN,FUJIAN,CHINA,4946,4279,0.78,0.00
"FU-LUH SHOES CO., LTD",FINISHED GOODS,FOOTWEAR,NIKE,,CHINGLUH,LONG AN,LONG AN,VIETNAM,9095,7197,0.74,0.00
"FUQING TUNTEX GARMENT, CO. LTD (MDC)",FINISHED GOODS,APPAREL,NIKE,,TUNG MUNG,FUQING,FUJIAN,CHINA,200,130,0.80,0.00
"FUTURE GARMENT CO., LTD",FINISHED GOODS,APPAREL,NIKE,,HI TECH,BANGKOK,BANGKOK METROPOLIS,THAILAND,470,449,0.65,0.70
GAIN LUCKY,MATERIALS,MATERIALS,NIKE,,NINGBO SHENZHOU,PHUOC DONG,TAY NINH,VIETNAM,,,0.00,0.00
GB LIGHT (KOREA),MATERIALS,MATERIALS,NIKE,,GB LIGHT,BUSAN,BUSAN,SOUTH KOREA,,,0.00,0.00
GB LIGHT (VIETNAM),MATERIALS,MATERIALS,NIKE,,GB LIGHT,THU DAU MOT,BINH DUONG,VIETNAM,,,0.00,0.00
GERMTON INDUSTRIAL COMPANY LTD.,FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,NO SUPPLIER GROUP,HUONG AN COMMUNE,QUANG NAM,VIETNAM,2322,1120,0.82,0.01
GILDAN ACTIVEWEAR SAN MIGUEL S.A.,FINISHED GOODS,APPAREL,NIKE,,GILDAN,PUERTO CORTES,SANTA BARBARA,HONDURAS,4670,4074,0.60,0.00
GILDAN APPAREL USA INC. (VILLANUEVA),FINISHED GOODS,APPAREL,NIKE,Collegiate,GILDAN,VILLANUEVA,COLON,HONDURAS,5013,4395,0.62,0.00
GILDAN HOSIERY RIO NANCE S DE R.L. (RN4),FINISHED GOODS - COMPONENTS,APPAREL,NIKE,Collegiate,GILDAN,CHOLOMA,YORO,HONDURAS,2644,2096,0.22,0.00
GKOGKAS LAMPROS,FINISHED GOODS,APPAREL,NIKE,,ANO LIOSIA,ATHENS,CENTRAL GREECE & EVVOIA,GREECE,13,9,0.30,0.44
GOLD LONG JOHN CHINA,MATERIALS,MATERIALS,NIKE,,GOLD LONG JOHN,ZHONGSHAN,GUANGDONG,CHINA,,,0.00,0.00
GORDON AND SMITH,FINISHED GOODS,APPAREL,HURLEY,,NO SUPPLIER GROUP,SÃO PAULO,SP,BRAZIL,52,36,0.70,0.00
GRECALE IMPEX SRL,FINISHED GOODS,APPAREL,NIKE,,SPORTSWEAR COMPANY SPA,MACIN,BRAILA,ROMANIA,670,12,0.11,0.00
GREEN MODE SNC,FINISHED GOODS,APPAREL,CONVERSE,,NO SUPPLIER GROUP,S.STEFANO ZIMELLA (VR),,ITALY,18,12,0.90,0.00
"GREEN TG CO., LTD",FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",Collegiate,GREEN TEXTILES,TIEN GIANG,TIEN GIANG,VIETNAM,1012,882,0.89,0.00
GREEN VINA,FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",Collegiate,GREEN TEXTILES,THUAN AN,BINH DUONG PROVINCE,VIETNAM,2014,1854,0.83,0.00
"GUANG YANG SPORTING CO., LTD",FINISHED GOODS,EQUIPMENT,"NIKE, CONVERSE",Collegiate,GUANG YANG,QING YUAN,GUANGDONG,CHINA,949,802,0.86,0.00
GUANG YANG WORLDWIDE CORPORATION CO. LTD.,FINISHED GOODS,EQUIPMENT,NIKE,,GUANG YANG,LONG AN PROVINCE,LONG AN,VIETNAM,972,925,0.92,0.00
GUERILLA GRAFFIX,FINISHED GOODS,APPAREL,NIKE,Collegiate,NO SUPPLIER GROUP,ROCKFORD,ILLINOIS,USA,98,84,0.60,0.00
H&H SCREENING & GRAPHICS INC.,FINISHED GOODS,APPAREL,NIKE,,NO SUPPLIER GROUP,VISTA,CALIFORNIA,USA,34,11,0.59,0.00
H&L VIETNAM,FINISHED GOODS,APPAREL,NIKE,,NO SUPPLIER GROUP,BEN CAT TOWN,BINH DUONG,VIETNAM,1200,688,0.85,0.00
HA NOI GARMENT NO. 40 JOINT STOCK COMPANY,FINISHED GOODS,APPAREL,"NIKE, CONVERSE",Collegiate,MAXPORT,HA NOI CITY,HA NOI,VIETNAM,408,378,0.84,0.00
"HAIYAN GOLDEN GATE SOCKS INDUSTRY CO., LTD",FINISHED GOODS,EQUIPMENT,"NIKE, CONVERSE, HURLEY",,NO SUPPLIER GROUP,HAIYAN,ZHEJIANG,CHINA,70,50,0.70,0.12
HANSAE TG CO LTD,FINISHED GOODS,APPAREL,NIKE,,HANSAE,"CHAU THANH, TIEN GIANG",TIEN GIANG,VIETNAM,5192,5000,0.84,0.00
"HANSAE VIET NAM CO., LTD.",FINISHED GOODS,APPAREL,NIKE,,HANSAE,HO CHI MINH,HO CHI MINH,VIETNAM,7726,6949,0.80,0.46
HAPCO SCREEN PRINTING,FINISHED GOODS,APPAREL,NIKE,,NO SUPPLIER GROUP,"EMMAUS,",PENNSYLVANIA,USA,40,32,0.45,0.00
HAYAFUJI,FINISHED GOODS,FOOTWEAR,NIKE,,NO SUPPLIER GROUP,KYOTO-SHI,KYOTO-FU,JAPAN,5,4,0.25,0.00
"HB SPORTS - NEW HOLLAND LINGERIE DE HONDURAS, S.A.",FINISHED GOODS - COMPONENTS,APPAREL,NIKE,Collegiate,NEW HOLLAND,SAN PEDRO SULA,CORTES,HONDURAS,1960,1100,0.63,0.01
"HI TECH APPAREL (CAMBODIA) CO., LTD",FINISHED GOODS,APPAREL,NIKE,,HI TECH,POIPET CITY,KANDAL,CAMBODIA,3833,3722,0.63,0.00
"HI TECH APPAREL CO LTD, BRANCH 70",FINISHED GOODS,APPAREL,NIKE,Collegiate,HI TECH,BANGKRU,SAMUTPRAKARN,THAILAND,1230,976,0.60,0.72
HI TECH APPAREL SURIN BRANCH,FINISHED GOODS,APPAREL,NIKE,,HI TECH,THATOOM,,THAILAND,717,514,0.73,0.00
HIGUCHI KABAN KOBO,FINISHED GOODS,EQUIPMENT,NIKE,,NO SUPPLIER GROUP,SAITAMA,SAITAMA,JAPAN,16,8,0.50,0.50
"HI-TECH  CHAIYAPHUM  APPAREL CO.,LTD.",FINISHED GOODS,APPAREL,NIKE,,HI TECH,MUANG,CHAIYAPHUM,THAILAND,1081,705,0.68,0.16
HI-TECH APPAREL CO. LTD.(SOI91),FINISHED GOODS,APPAREL,NIKE,,HI TECH,BANGKOK,BANGKOK,THAILAND,1169,676,0.75,0.00
"HI-TECH CHAIYAPHUM APPAREL CO.,LTD.",FINISHED GOODS,APPAREL,NIKE,,HI TECH,MUANG,CHAIYAPHUM,THAILAND,617,556,0.70,0.05
"HI-TECH VIET NAM APPAREL CO.,LTD.",FINISHED GOODS,APPAREL,NIKE,,HI TECH,DUY XUYEN DISTRICT,QUANG NAM,VIETNAM,1197,1014,0.85,0.00
HONG KOW CO. LTD,MATERIALS,MATERIALS,NIKE,,LITTLE KING INDUSTRIES CO. LTD.,NEW TAIEPI CITY,T'AI-PEI,TAIWAN,,,0.00,0.00
"HONG SENG KNITTING CO., LTD BRANCH THUNGKHU",FINISHED GOODS,APPAREL,NIKE,,HONG SENG,BANGKOK,,THAILAND,471,414,0.65,0.92
HONG SENG KNITTING COMPANY LIMITED.,FINISHED GOODS,APPAREL,"NIKE, HURLEY",Collegiate,HONG SENG,RATHJABURANA,BANGKOK,THAILAND,3414,1549,0.65,0.96
HONG SENG THAI-VINA COMPANY LIMITED,FINISHED GOODS,APPAREL,"NIKE, HURLEY",,HONG SENG,DUC HOA DISTRICT,LONG AN,VIETNAM,902,823,0.80,0.02
HONSIN APPAREL SDN. BHD.,FINISHED GOODS,APPAREL,"NIKE, CONVERSE",,HONSIN,BATU PAHAT,JOHOR,MALAYSIA,1449,1275,0.25,0.90
HONWAYS APPAREL (SHUYANG) LIMITED,FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,HONSIN,JIANGSU PROVINCE,JIANGSU,CHINA,1009,763,0.87,0.00
HUA FENG TEXTILE GROUP,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,HUA FENG,PUTIAN,FUJIAN,CHINA,104,89,0.70,0.47
"HUAIAN YUANTONG HEADWEAR MFG. CO, LTD.",FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",Collegiate,JIANGSU,HUAI AN,JIANGSU,CHINA,874,732,0.80,0.00
HUGE BAMBOO,MATERIALS,MATERIALS,NIKE,,LITTLE KING INDUSTRIES CO. LTD.,TAOYUAN,TAIWAN,TAIWAN,,,0.00,0.00
HUI ZHOU STELLA FOOTWEAR CO.LTD.,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,STELLA,GUANGDONG PROVINCE,GUANGDONG,CHINA,342,314,0.90,0.00
"HUIZHOU YANGMING INDUSTRIAL CO., LTD.",FINISHED GOODS,EQUIPMENT,CONVERSE,,NO SUPPLIER GROUP,HUIZHOU,GUANGDONG,CHINA,115,86,0.78,0.00
HUNG LONG GARMENT AND SERVICE JOINT STOCK COMPANY,FINISHED GOODS,APPAREL,NIKE,,NO SUPPLIER GROUP,HUNG YEN,HUNG YEN,VIETNAM,2563,2455,0.70,0.00
"I.S VIETNAM CO., LTD",FINISHED GOODS,APPAREL,NIKE,,HANSAE,HO CHI MINH CITY,HO CHI MINH CITY,VIETNAM,330,296,0.54,0.00
IDEA STAMPA S.R.L. UNIPERSONALE,FINISHED GOODS,APPAREL,NIKE,,IDEA STAMPA S.R.L. UNIPERSONALE,MEOLO (VENEZIA),VENETO,ITALY,16,13,0.75,0.00
IMPRESSIONS CASEE INC.,FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,NO SUPPLIER GROUP,MONTREAL,QUEBEC,CANADA,4,3,0.25,0.00
INJEXTECH INC.,FINISHED GOODS,EQUIPMENT,NIKE,,NO SUPPLIER GROUP,TAINAN,T'AI-WAN,TAIWAN,163,151,0.55,0.17
INKWRIGHT LLC,FINISHED GOODS,APPAREL,HURLEY,,NO SUPPLIER GROUP,HUNTINGTON BEACH,CALIFORNIA,USA,121,85,0.67,0.00
INOVA TEXTILES S.A. DE C.V.,FINISHED GOODS,APPAREL,CONVERSE,,INOVA TEXTILES,JILOTEPEC,ESTADO DE MEXICO,MEXICO,242,229,0.75,0.00
INTERLOOP LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,,INTERLOOP,FAISALABAD,PUNJAB,PAKISTAN,6739,5757,0.05,0.00
ITW SPORTS BRANDING ENPING,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,Collegiate,ITW GRAPHICS ASIA LTD,ENPING,GUANGDONG,CHINA,167,138,0.64,0.00
JADE APPAREL INDUSTRIES SAE,FINISHED GOODS,APPAREL,NIKE,,YESIM,ALEXANDRIA,,EGYPT,1896,870,0.23,0.06
JADE LONG JOHN,MATERIALS,MATERIALS,NIKE,,GOLD LONG JOHN,CHANGHUA,SHE-TOU SHANG,TAIWAN,,,0.00,0.00
JADE TEXTILE EGYPT,FINISHED GOODS,APPAREL,NIKE,,YESIM,10TH OF RAMADAN CITY,SHARKIYYA,EGYPT,2656,1151,0.20,0.22
JIANGSU ASIAN SOURCING HEADWEAR MFG.CO.LTD,FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",Collegiate,JIANGSU,HUAI AN,JIANGSU,CHINA,1379,1196,0.87,0.00
"JIANGSU HONGBAO SPORTING GOODS CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,,NO SUPPLIER GROUP,HUAIAN,JIANGSU,CHINA,389,328,0.77,0.13
"JIANGSU JINHUBAO GARMENT CO., LTD",FINISHED GOODS,APPAREL,CONVERSE,,NO SUPPLIER GROUP,YANGZHOU,JIANGSU,CHINA,217,185,0.78,0.00
"JIANGSU XIAYUNFEI GARMENT CO., LTD.",FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,NO SUPPLIER GROUP,JIANGYIN,JIANGSU,CHINA,268,243,0.70,0.00
"JIANGXI GUANGYOU SHOETOWN FOOTWEAR CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,,SHOETOWN,NANCHANG,JIANGXI,CHINA,2503,1980,0.82,0.05
"JIANSHAN BENHUI PRINTING CO., LTD",FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,JIASHAN BENHUI,JIAXING,ZHEJIANG,CHINA,22,15,0.41,0.00
JIAXING QUANG VIET GARMENT CO. LTD.,FINISHED GOODS,APPAREL,"NIKE, CONVERSE",,QUANG VIET,PING HU,ZHEJIANG,CHINA,1698,1559,0.52,0.01
"JIAXING SHINSUNG KANAAN  CO.,LTD",FINISHED GOODS,EQUIPMENT,"NIKE, CONVERSE, HURLEY",,KANAAN,JIAXIANG,ZHEJIANG,CHINA,122,33,0.85,0.00
"JINING YONGJIN SHOES CO., LTD.",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,TAEKWANG,JI NING CITY,SHANDONG,CHINA,1236,1182,0.98,0.00
JK  GARMENTS  (PVT)  LTD,FINISHED GOODS,APPAREL,NIKE,,HONSIN,KURUNEGALA,NORTH  WESTURN,SRI LANKA,955,690,0.82,0.00
JNB TRADING S.A.,FINISHED GOODS,APPAREL,HURLEY,,NO SUPPLIER GROUP,PUERTA PARADA,,GUATEMALA,498,496,0.67,0.00
JSI,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,TAEKWANG,BUSAN,BUSAN,SOUTH KOREA,640,374,0.22,0.00
JSI VINA CORPORATION,MATERIALS,MATERIALS,NIKE,,TAEKWANG,GÒ D?U,TAY NINH,VIETNAM,,,0.00,0.00
"KIM'S EMBROIDERY, INC.",FINISHED GOODS,APPAREL,NIKE,Collegiate,KIMS EMBROIDERY,PORTLAND,OREGON,USA,7,5,0.80,0.00
"KING RAY YENG INDUSTRIAL CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,,NO SUPPLIER GROUP,CHANGHWA,T'AI-WAN,TAIWAN,154,100,0.54,0.39
"KITAI  CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,,KITAI,KASHIBA,NARA,JAPAN,52,48,0.55,0.00
"KKN APPAREL CO., LTD",FINISHED GOODS,APPAREL,NIKE,,NICE APPAREL,NEANG KOK VILLAGE,KAOH KONG,CAMBODIA,6725,5807,0.53,0.02
"K-L MFG. CO., INC.",FINISHED GOODS,APPAREL,NIKE,Collegiate,K&L MANUFACTURING,SPOKANE,WASHINGTON,USA,133,130,0.59,0.00
"KUNSHAN SABRINA CLOTHES MAKING CO., LTD.",FINISHED GOODS,APPAREL,"NIKE, CONVERSE",Collegiate,SABRINA,KUNSHAN,JIANGSU,CHINA,972,848,0.87,0.00
KUO YUEN (CHINA),MATERIALS,MATERIALS,NIKE,,KUO YUEN,DONGGUAN,GUANGDONG,CHINA,,,0.00,0.00
KUO YUEN (VIETNAM),MATERIALS,MATERIALS,NIKE,,KUO YUEN,NHON TRACH DISTRICT,DONG NAI,VIETNAM,,,0.00,0.00
KWAN TAT VIETNAM CO. LTD,FINISHED GOODS,APPAREL,NIKE,,TUNG MUNG,H THUAN AN,BINH DUONG,VIETNAM,112,88,0.80,0.11
LATITUDES,FINISHED GOODS,APPAREL,"NIKE, CONVERSE",Collegiate,GRAPHICS GROUP,PORTLAND,OREGON,USA,60,42,0.57,0.91
LEADING STAR VIETNAM GARMENT COMPANY LIMITED,FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,NO SUPPLIER GROUP,THUAN AN TOWN,BINH DUONG PROVINCE,VIETNAM,2314,1646,0.83,0.00
"LEOTEX TEXTILE, S.A. DE C.V.",FINISHED GOODS,APPAREL,NIKE,Collegiate,JOWETT,CD. OBREGON,SONORA,MEXICO,1542,1513,0.83,0.04
LES GANT CO LTD,FINISHED GOODS,EQUIPMENT,NIKE,,NO SUPPLIER GROUP,KAGAWA,KAGAWA,JAPAN,68,16,0.53,0.13
LES VETEMENTS SP APPAREL INC.,FINISHED GOODS,APPAREL,NIKE,Collegiate,SP APPAREL,GRANBY,QUEBEC,CANADA,88,55,0.80,0.11
"LI CHENG ENTERPRISE CO.,LTD",MATERIALS,MATERIALS,NIKE,,LI CHENG,YUN-LIN HSIEN,,TAIWAN,,,0.00,0.00
LIM GROUP SRL,FINISHED GOODS,FOOTWEAR,CONVERSE,,NO SUPPLIER GROUP,ITALY,VENETO,ITALY,26,19,0.25,0.11
LINEA  AITC,FINISHED GOODS,APPAREL,NIKE,,MAS HOLDINGS,THULHIRIYA,SABARAGAMUWA,SRI LANKA,444,242,0.83,0.00
LION BROTHERS FAR EAST,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,Collegiate,LION BROTHERS,BAOAN,GUANGDONG,CHINA,452,332,0.47,0.00
LISI CALÇADOS E COSTURA LTDA,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,DASS,SANTA CLARA DO SUL,RS,BRAZIL,89,79,0.84,0.00
LOGO CAPITAL,FINISHED GOODS,APPAREL,NIKE,,NO SUPPLIER GROUP,ALEXANDRIA,VIRGINIA,USA,24,20,0.33,0.00
LONG AN EXPORT GARMENT JOINT STOCK COMPANY (LASGE),FINISHED GOODS,APPAREL,NIKE,,UNITED SWEETHEART,TAN AN,LONG AN,VIETNAM,900,800,0.70,0.00
LONG CHUAN SIMONA FOOTWEAR CO. LTD,FINISHED GOODS,FOOTWEAR,NIKE,Collegiate,STELLA,HEYUAN,GUANGDONG,CHINA,5655,4768,0.87,0.00
"LONG FA SHOES INDUSTRIAL (HUIZHOU) CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,,DEAN SHOES,HUIZHOU,GUANGDONG,CHINA,7785,6385,0.52,0.00
"LONG YUE SHOES INDUSTRIAL  (HUI  ZHOU)CO.,LTD.",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,DEAN SHOES,HUIZHOU,GUANGDONG,CHINA,3033,2697,0.65,0.00
"LONGCHUAN SOMONA FOOTWEAR CO.,LTD WUHUA BRANCH",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,STELLA,MEIZHOU,GUANGDONG,CHINA,759,712,0.96,0.00
LONGWAY VIETNAM COMPANY LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,,NO SUPPLIER GROUP,DUC HOA,LONG AN,VIETNAM,0,800,0.00,0.00
LOTUS FOOTWEAR ENTERPRISES LIMITED UNIT-2,FINISHED GOODS,FOOTWEAR,NIKE,,FENG TAY,NEAR KANCHIPURAM,TAMIL NADU,INDIA,5803,4430,0.51,0.00
LOTUS FOOTWEAR ENTERPRISES LTD (FENG TAY),FINISHED GOODS,FOOTWEAR,NIKE,,FENG TAY,TIRUVANNAMALAI DISTRICT,TAMIL NADU,INDIA,7496,6172,0.57,0.00
LYNKA,FINISHED GOODS,APPAREL,NIKE,,LYNKA,"32-050 SKAWINA, POLAND",,POLAND,269,175,0.65,0.00
"M.D.K EMBROIDERIES GARMENTS CO., LTD",FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,NO SUPPLIER GROUP,HO CHI MINH CITY,THANH PHO HO CHI MINH,VIETNAM,1235,1100,0.75,0.00
M/S STYLE TEXTILE (PVT.) LIMITED (SUNDER) - UNIT VI,FINISHED GOODS,APPAREL,"NIKE, HURLEY",,STYLE TEXTILE,LAHORE,PUNJAB,PAKISTAN,4224,3636,0.18,0.00
MANUFACTURAS KALTEX,FINISHED GOODS,APPAREL,CONVERSE,,NO SUPPLIER GROUP,SAN JUAN RÍO,QUERÉTARO,MEXICO,1350,1102,0.60,0.01
MARCHON ITALIA SRL,FINISHED GOODS,EQUIPMENT,NIKE,,NO SUPPLIER GROUP,PUOS D’ALPAGO,VENETO,ITALY,328,181,0.62,0.04
MARP INDUSTRIA TEXTIL,FINISHED GOODS,APPAREL,HURLEY,,NO SUPPLIER GROUP,BLUMENAU,SANTA CATARINA,BRAZIL,285,251,0.74,0.00
MAS ACTIVE (PVT) LIMITED - LEISURELINE,FINISHED GOODS,APPAREL,NIKE,Collegiate,MAS HOLDINGS,KATUNAYAKE,WESTERN PROVINCE,SRI LANKA,711,416,0.70,0.00
MAS ACTIVE (PVT) LTD - CONTOURLINE DIVISION,FINISHED GOODS,APPAREL,NIKE,Collegiate,MAS HOLDINGS,PALLEKELE,CENTRAL PROVINCE,SRI LANKA,1608,1072,0.66,0.00
MAS ACTIVE (PVT) LTD. - SHADOWLINE DIVISION,FINISHED GOODS,APPAREL,NIKE,,MAS HOLDINGS,KATUNAYAKE,WESTERN PROVINCE,SRI LANKA,1219,690,0.70,0.00
MAS ACTIVE (PVT.) LTD - SYNERGY,FINISHED GOODS,APPAREL,"NIKE, HURLEY",Collegiate,MAS HOLDINGS,AVISSAWELLA,WESTERN,SRI LANKA,1995,1276,0.68,0.00
MAS ACTIVE TRADING (PVT) LTD - LINEA INTIMO (MDC),FINISHED GOODS,APPAREL,NIKE,,MAS HOLDINGS,COLOMBO,SRI LANKA,SRI LANKA,777,660,0.45,0.00
MAS ACTIVE TRADING PVT LTD - VAANAVIL DIVISION,FINISHED GOODS,APPAREL,NIKE,,MAS HOLDINGS,COLOMBO,SRI LANKA,SRI LANKA,1761,1275,0.80,0.00
MAS AKSHAYA SPORTSWEAR PVT LTD,FINISHED GOODS,APPAREL,NIKE,,MAS HOLDINGS,ANDHRA PRADESH,TAMIL NADU,INDIA,608,290,0.80,0.00
MAS FABRICS (PVT) LTD - METHLIYA,FINISHED GOODS,APPAREL,NIKE,,MAS HOLDINGS,KEGALLE,SRI LANKA,SRI LANKA,1808,1193,0.77,0.00
MAS FABRICS (PVT.) LTD - MATRIX,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,MAS HOLDINGS,THULHIRIYA,SRI LANKA,SRI LANKA,2381,1975,0.51,0.00
MASSIVE PRINTS,FINISHED GOODS,APPAREL,HURLEY,,NO SUPPLIER GROUP,RANCHO DOMINGUEZ,CALIFORNIA,USA,180,119,0.57,0.00
MATSUDA BABY SANGYO,FINISHED GOODS,EQUIPMENT,NIKE,,NO SUPPLIER GROUP,KASHIHARA,NARA,JAPAN,25,21,0.67,0.43
MAXPORT LIMITED (VIET NAM) _ NAM DINH BRANCH ( MAXPORT 05),FINISHED GOODS,APPAREL,NIKE,,MAXPORT,NAM DINH,NAM DINH,VIETNAM,1696,1505,0.85,0.00
MAXPORT LIMITED (VIET NAM) _ NAM DINH BRANCH ( MAXPORT 06),FINISHED GOODS,APPAREL,NIKE,,MAXPORT,NAM DINH,NAM DINH,VIETNAM,556,525,0.85,0.00
MD APPAREL-HYUN JIN S.A.,FINISHED GOODS,APPAREL,HURLEY,,NO SUPPLIER GROUP,GUATEMALA CITY,,GUATEMALA,634,580,0.56,0.02
"MEN-CHUEN FIBRE INDUSTRY CO., LTD. (TAIWAN)",MATERIALS,MATERIALS,NIKE,,MEN CHUEN,TAOYUAN,T'AI-WAN,TAIWAN,,,0.00,0.00
"MEN-CHUEN FIBRE INDUSTRY CO., LTD. (VIETNAM)",MATERIALS,MATERIALS,NIKE,,MEN CHUEN,BIEN HOA,DONG NAI,VIETNAM,,,0.00,0.00
MILTEKS TEKSTIL SANAYI VE TICARET A S,FINISHED GOODS,APPAREL,NIKE,,MILTEKS,BEYLIKDUZU,ISTANBUL,TURKEY,189,122,0.40,0.00
MILTEKS TEKSTIL SANAYI VE TICARET A.S. (AJARA TEXTILE LTD),FINISHED GOODS,APPAREL,NIKE,,MILTEKS,BATUMI,ADJARA,GEORGIA,689,615,1.00,0.00
MOGAE,MATERIALS,MATERIALS,NIKE,,MOGAE,BUSAN,SOUTH GYEONGSANG,SOUTH KOREA,,,0.00,0.00
NACIONAL COMPANY LTDA,FINISHED GOODS,APPAREL,HURLEY,,NO SUPPLIER GROUP,SAO PAULO,SAO PAULO,BRAZIL,49,43,0.56,0.00
NAM DINH STELLA FOOTWEAR CO. LTD.,FINISHED GOODS,FOOTWEAR,NIKE,,STELLA,NAM TRUC,NAM DINH,VIETNAM,3709,2909,0.82,0.00
NAM HA GARMENT JOINT STOCK COMPANY,FINISHED GOODS,APPAREL,NIKE,,JANTZEN,NAMDINH,HUNG YEN,VIETNAM,555,350,0.85,0.00
NAM THIEN COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,,SOUTH ISLAND,HO CHI MINH,HO CHI MINH,VIETNAM,630,565,0.78,0.00
NAN YANG GARMENT,FINISHED GOODS,APPAREL,NIKE,,NAN YANG,"LADYAO, NAKHONSAWAN",,THAILAND,1526,1246,0.76,0.00
"NAN YANG GARMENT CO., LTD.",FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",Collegiate,NAN YANG,NONGKHAM,BANGKOK,THAILAND,1227,664,0.74,0.75
