Factory_Name,Factory_Type,Product_Type,Brands,Occasion,Supplier_Group,City,State,Country,Total_Workers,Line_Workers,Percent_Female_Workers,Percent_Migrant_Workers
"QUANG VIET ENTERPRISE CO., LTD",FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,QUANG VIET,HO CHI MINH,HO CHI MINH,VIETNAM,6342,5920,0.94,0.00
QUANZHOU  FENGZE YISHENG LEATHER CO,FINISHED GOODS,EQUIPMENT,CONVERSE,,NO SUPPLIER GROUP,QUANZHOU,FUJIAN,CHINA,50,40,0.50,0.00
QUANZHOU UNISON LIGHT INDUSTRIAL MANUFACTURING,FINISHED GOODS,EQUIPMENT,CONVERSE,,NO SUPPLIER GROUP,QUANZHOU,FUJIAN,CHINA,57,44,0.54,0.00
R. A. INTERTRADING S. A.,FINISHED GOODS,APPAREL,"NIKE, HURLEY",,RA INTERTRADING,CAPITAL FEDERAL,BUENOS AIRES,ARGENTINA,819,735,0.42,0.62
"RAJA UCHINO CO.,LTD.",FINISHED GOODS,EQUIPMENT,NIKE,,NO SUPPLIER GROUP,SRIRACHA,CHONBURI,THAILAND,290,250,0.65,0.19
RAMATEX APPAREL (SUZHOU) LTD.,FINISHED GOODS,APPAREL,NIKE,,TAI WAH,SUZHOU,JIANGSU,CHINA,665,619,0.93,0.86
RAMATEX INDUSTRIA LTD.,MATERIALS,MATERIALS,NIKE,,RAMATEX,JIANG SU,JIANGSU,CHINA,,,0.00,0.00
RAMATEX INDUSTRIAL (SUZHOU( LTD,FINISHED GOODS,APPAREL,NIKE,,TAI WAH,SUZHOU,JIANGSU,CHINA,697,635,0.90,0.93
RAMATEX TEXTILES INDUSTRIAL SDN. BHD.,MATERIALS,MATERIALS,NIKE,,RAMATEX, JOHOR,,MALAYSIA,,,0.00,0.00
"RATSIMA CO., LTD. (BRANCH 3)",FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,NO SUPPLIER GROUP,NAKHON RATCHASIMA,NORTHEASTERN,THAILAND,80,77,0.78,0.00
RAY FABRICS,MATERIALS,MATERIALS,NIKE,,RAY FABRICS (CHUNRIH RD),TAOYUAN,T'AI-WAN,TAIWAN,,,0.00,0.00
REGINA MIRACLE INTIMATE APPAREL (SHENZHEN) LIMITED,FINISHED GOODS,APPAREL,NIKE,,REGINA MIRACLE,SHENZHEN,GUANGDONG,CHINA,1229,987,0.60,0.00
RIETVELD SERIGRAFIE BV,FINISHED GOODS,APPAREL,NIKE,,RIETVELD SERIGRAFIE,,,NETHERLANDS,32,22,0.55,0.18
RIPON ATHLETIC,FINISHED GOODS,APPAREL,NIKE,,RIPON,BERLIN,WISCONSIN,USA,155,131,0.86,0.00
RJ LIEBE ATHLETIC LETTERING,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,,RJ LIEBE ATHLETIC LETTERING CO.,PERRY,NEW YORK,USA,47,40,0.85,0.00
RJ LIEBE ATHLETIC LETTERING CO.,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,Collegiate,RJ LIEBE ATHLETIC LETTERING CO.,CHESTERFIELD,MISSOURI,USA,47,31,0.66,0.00
"ROBINSON MANUFACTURING COMPANY, DAYTON",FINISHED GOODS,APPAREL,NIKE,Collegiate,ROBINSON,DAYTON,TENNESSEE,USA,95,87,0.42,0.00
"ROCKMAUI WEAR CO., LTD (***FOR DRAGONCROWD)",FINISHED GOODS,APPAREL,HURLEY,,NO SUPPLIER GROUP,NINGBO,ZHEJIANG,CHINA,248,190,0.52,0.00
RS/TUPÃ IND.  DE PLASTICO LTDA,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,NO SUPPLIER GROUP,NOVO HAMBURGO,RIO GRANDE DO SUL,BRAZIL,168,124,0.44,0.00
S & R LOGISTICA DEL PACIFICO S. DE R.L. DE C V.,FINISHED GOODS,APPAREL,HURLEY,,NO SUPPLIER GROUP,ENSENADA,BC,MEXICO,165,159,0.60,0.00
S.E.C. (DONGGUAN) ACCESSORIES LIMITED,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,Collegiate,SEC ACCESSORIES,DONGGUAN CITY,"GUANGDONG PROVINCE, CHINA",CHINA,51,35,0.51,0.00
SABRINA (CAMBODIA) GARMENT MANUFACTURING,FINISHED GOODS,APPAREL,"NIKE, HURLEY",Collegiate,SABRINA,SAMRONG TORNG DISTRICT,KAMPONG SPEU PROVINCE,CAMBODIA,5971,4205,0.93,0.05
SADESA (AYUTTHAYA),MATERIALS,MATERIALS,NIKE,,SADESA,AYUTTHAYA,CENTRAL,THAILAND,,,0.00,0.00
SADESA (CHONBURI),MATERIALS,MATERIALS,NIKE,,SADESA,CHONBURI,CENTRAL,THAILAND,,,0.00,0.00
"SAIGON DARYAR PLASTIC CO.,LTD",FINISHED GOODS,EQUIPMENT,NIKE,,WELLPOWER,THUAN AN,BINH DUONG PROVINCE,VIETNAM,193,130,0.90,0.00
SAIGON GOLDEN PRENE ENTERPRISE COMPANY LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,,GUANG DER,BINH DUONG,BINH DUONG,VIETNAM,842,594,0.77,0.00
SAN CARLOS TRADING S.A.,FINISHED GOODS,APPAREL,CONVERSE,,NO SUPPLIER GROUP,AVELLANEDA,BUENOS AIRES,ARGENTINA,11,7,0.45,0.43
SAN FANG (INDONESIA),MATERIALS,MATERIALS,"NIKE, CONVERSE",,SAN FANG,TANGERANG,SERANG,INDONESIA,,,0.00,0.00
SAN FANG (TAIWAN),MATERIALS,MATERIALS,NIKE,,SAN FANG,KAOHSIUNG,,TAIWAN,,,0.00,0.00
SAN FANG (VIETNAM),MATERIALS,MATERIALS,NIKE,,SAN FANG,TAN THANH,THANH PHO HO CHI MINH,VIETNAM,,,0.00,0.00
SAN FANG CHINA,MATERIALS,MATERIALS,NIKE,,SAN FANG,DONGGUAN,GUANGDONG,CHINA,,,0.00,0.00
